NetsuiteID,13312($),13566($),5484($),9297($),9564($),13501($),1745($),1105($),5295($),9782($),1747($),5225($),10093($),1135($),2058($),9642($),13359($),1966($),3802($),2927($),633($),1402($),No Tagkey: NetsuiteID($),1633($),3745($),1814($),918($),1119($),512($),11016($),2287($),9566($),4292($),14387($),4732($),11385($),13009($),11432($),480($),1956($),1175($),675($),9989($),10033($),9239($),13756($),955($),12646($),10940($),12026($),1757($),4982($),0($),85($),2316($),6130($),3779($),314($),3800($),10319($),12403($),728($),11636($),13898($),14483($),12631($),13336($),10441($),1393($),12822($),8749($),10685($),13192($),167($),9119($),10857($),724($),10570($),1723($),254($),9694($),13316($),8913($),4273($),13852($),10356($),1421($),10795($),12560($),2653($),490($),9680($),2631($),10052($),5291($),1392($),291($),14187($),1019($),9170($),215($),997($),1101($),10648($),5251($),Total cost ($),13312(GB),13566(GB),5484(GB),9297(GB),9564(GB),13501(GB),1745(GB),1105(GB),5295(GB),9782(GB),1747(GB),5225(GB),10093(GB),1135(GB),2058(GB),9642(GB),13359(GB),1966(GB),3802(GB),2927(GB),633(GB),1402(GB),No Tagkey: NetsuiteID(GB),1633(GB),3745(GB),1814(GB),918(GB),1119(GB),512(GB),11016(GB),2287(GB),9566(GB),4292(GB),14387(GB),4732(GB),11385(GB),13009(GB),11432(GB),480(GB),1956(GB),1175(GB),675(GB),9989(GB),10033(GB),9239(GB),13756(GB),955(GB),12646(GB),10940(GB),12026(GB),1757(GB),4982(GB),0(GB),85(GB),2316(GB),6130(GB),3779(GB),314(GB),3800(GB),10319(GB),12403(GB),728(GB),11636(GB),13898(GB),14483(GB),12631(GB),13336(GB),10441(GB),1393(GB),12822(GB),8749(GB),10685(GB),13192(GB),167(GB),9119(GB),10857(GB),724(GB),10570(GB),1723(GB),254(GB),9694(GB),13316(GB),8913(GB),4273(GB),13852(GB),10356(GB),1421(GB),10795(GB),12560(GB),2653(GB),490(GB),9680(GB),2631(GB),10052(GB),5291(GB),1392(GB),291(GB),14187(GB),1019(GB),9170(GB),215(GB),997(GB),1101(GB),10648(GB),5251(GB),Total usage (GB)
NetsuiteID Total,2391.3830629926993,378.5032883613,330.73567675529995,205.3996784564,204.9658608771,165.47685989560003,129.3089755343,118.94530412180009,116.59956671479999,89.51702068130002,88.85585728639998,85.45474190250002,61.242361199600005,50.16439097729999,41.6583009274,39.9597112133,39.341968115299984,34.0588655606,32.32235392,32.2287589591,31.228153362399993,30.077247844199995,29.533654502599994,28.083480565899993,26.7187079354,24.036963083300016,21.106528745900004,18.2361550538,18.220708114199997,17.881535099799997,17.850258476300006,15.8869985763,13.9855375044,13.329929595299998,13.2922824447,12.896669999700002,12.453741574299999,11.670766757200006,10.102819319699996,9.869333816500001,8.998427257799998,8.703860644600002,8.669592947999995,8.444519453099998,8.253567047199999,8.230939926800001,8.072252364999999,7.976724926400001,7.334075086100003,7.2707059969,7.2066365495,6.789385144900002,6.660804434799997,6.378700840099997,5.903146937300002,5.8723510030999995,5.527735201700002,5.489906174599997,5.061684098400001,4.0488043952999995,3.9441494137999995,3.7920001572000013,3.6154550914,3.423134247,3.186285800499999,3.067382715599999,2.8152424687999997,2.7451722148999997,2.5620621638,2.0502842529,1.9277453386999999,1.8337506795999998,1.6669729902999997,1.5156154673000002,1.2460318901,1.1833337462000004,1.0076111955,0.9795436591,0.9679645117000001,0.7693035195000002,0.6630199236000001,0.6174989968,0.47485659369999994,0.45626870380000006,0.3602769704,0.2933802597000001,0.28449057670000005,0.25574093679999993,0.2199775519,0.1687498934,0.1476534735,0.1283742026,0.10718192129999998,0.0973003421,0.0627101244,0.040139405200000006,0.0066530049,0.0063275551,0.0000015697000000000002,0.0000011572,5.907000000000001e-7,3.9380000000000005e-7,2.8289999999999997e-7,1.6e-7,0.0000000609,5202.167543430601,29339.3552119623,4605.505874745602,4024.1758229510006,2514.0868401502,2514.3567154993993,2041.076742799599,1582.5608908963002,1449.0709436383006,1429.0999368134003,1096.3051649072002,1094.1662848706997,1049.9824679766,748.5329589135002,614.7573129406001,510.5461359041,487.38299918850015,481.3539827082,424.4005341763,396.922177058,395.8817669922999,382.27710517060007,366.7463443517,362.0794930573,341.58028187980005,329.07993421259994,293.8865883314,257.5026710497,223.8175011407999,223.0207996681,219.39810379980003,221.90771019639996,197.71450465140006,171.5716306368,164.06725194210003,160.8012048831,158.9688938035,152.5400937885001,142.46200990309998,124.37818650349999,121.28433641760003,110.57793224170003,107.55606607460003,107.6325350864,103.35782105980002,102.40660580799998,101.9466542653,99.052960785,99.0268078761,90.39798006230002,89.91341997230003,89.5790265414,80.77956177409999,83.05905254560001,77.83696664179999,72.63860848780001,71.6521822899,67.17278460600002,67.7055555564,61.95484509860001,49.4757086042,49.21488907949999,45.67632862680001,44.9898355586,42.381896623,38.46346353849999,37.7120913711,35.015648729999995,33.379462898900016,31.9658441828,24.708558640600003,23.782546690500002,22.1667621393,20.8119160163,18.945193342799996,15.127816641700004,14.552814618799998,12.5567608508,12.170880590600003,11.7435901624,9.416834655899999,8.1554354949,7.7139506546,5.800650367199998,5.534114261900002,4.5034621294,3.5435092922000004,3.4681381694999995,3.1955489841999993,2.7470045881000003,2.0767933546,1.7979716650000002,1.5457589248999997,1.2817344439999998,1.1772305454999996,0.7819892252,0.4990266285,0.08120681710000001,0.0790944389,0.0000192293,0.0000144653,0.0000072505,0.0000049221,0.0000035091,0.0000019996000000000003,7.162e-7,63747.09429289391
2018-10-01,17.7500080671,10.3554374659,2.9314305424000002,4.1361972522,3.586823638,0.3164556097,0.5820174337,1.303078551,2.0650526232,2.2909001393,0.7307780536,0.2578107505,0.7520871891,0.5134973409,0.6022761379,2.6085711998,0.7656974653,0.0225505275,0.1958467194,0.3178065779,0.1689717454,0.359556006,0.34913550130000004,0.1846778593,0.3256318729,1.0367891119000001,,0.2382093669,0.0729092662,0.1967486514,0.0781905154,0.016246426,0.1205948016,0.122802728,0.0402376605,0.3298475187,0.0005452664,0.0400811687,,0.0001448581,0.0011596711,0.1961569849,,,0.0313869081,0.0034422424,,0.0239507773,0.1298371332,0.0455886441,,0.0031751519,0.0035895593,0.0022248653,0.333509426,0.163726314,0.0061162568,0.004810092,0.47895610390000004,0.0005482401,0.0088523282,0.0124140691,0.0273311628,,0.9232764084,0.0310354176,0.0081496507,0.058345132,,0.0328747531,0.0072884167,0.0017177153,,,0.0766265288,0.0021854957,,0.0007479104,0.0912736238,,0.0044630412,,0.0002315906,0.0126999283,,0.0007056054,0.0023805427,,,0.0233376528,,,,0.0006949171,,,,,,,,,,,,58.520453870199994,208.8236243191,121.8286760702,34.4874181494,48.6611441446,42.1979251559,3.7230071726,6.8472639257,15.3303358909,24.2947367423,26.9517663448,8.5973888652,3.0330676559,8.8480845794,6.041145186,7.0856016206,30.6890729396,9.0082054734,0.2653003241,2.3040790502,3.7389009167,1.9879028863,4.2300706618,4.1074764869,2.1726806948,3.8309632111,12.1975189619,0,2.8024631377,0.8577560717,2.3146900181,0.9198884182,0.1911344221,1.4187623718,1.4447379774,0.4733842415,3.8805590431,0.0064148978,0.4715431576,0,0.0017042132,0.0136431893,2.3077292351,0,0,0.3692577425,0.0404969686,0,0.2817738502,1.5274956829,0.5363369891,0,0.0373547282,0.0422301078,0.026174886,3.9236403061,1.9261919307,0.071955963,0.0565893193,5.6347776946999995,0.0064498838,0.1041450379,0.1460478715,0.3215430929,0,10.8620753943,0.3651225605,0.0958782434,0.6864133162,0,0.3867618011,0.0857460796,0.0202084155,0,0,0.9014885743,0.0257117143,0,0.0087989456,1.0738073393,0,0.0525063658,0,0.0027245954,0.149410923,0,0.0083012395,0.0280063842,0,0,0.274560621,0,0,0,0.0081754951,0,0,0,0,0,0,0,0,0,0,0,688.4759278873
2018-10-02,23.4088057245,11.0405445572,5.4505179689,4.2327432138,3.0017539472,13.6295132809,2.1629579147,1.7213075399,1.1235225345000002,2.5631058388,0.5087471127,0.5474424257,1.1325749322,0.8041611193,0.8153369292,0.7840552042,2.908610036,0.0000004555,0.8815374415,0.1322755503,0.4150885235,0.859587634,0.9604489749,0.4935201982,0.3028535586,3.7705875447999997,,0.451374083,0.2045192054,0.2700651075,0.0788944907,0.0133391679,0.20743266,0.0425228063,0.6497578947,0.2074076069,0.2666602076,0.3410539069,,,0.0000003926,0.03095602,0.0004784001,,0.1126072608,0.0081281671,,0.0222225097,0.0255077936,0.6878006079,0.3396916221,0.0078569535,0.0380478137,0.0442844967,0.2484926945,0.1088646434,0.7507579291,0.0027148596,0.1950172796,0.0089324302,0.0011364787,0.129475945,0.0010668711,,0.2163281094,0.0009937342,0.1016123563,0.0362315087,,0.0043237649,0.0002196485,0.3142001424,,,0.0889960519,0.0003752644,,0.0036524683,0.0378674442,0.0493511905,0.003789544,0.0005718502,0.0122269821,0.0027141912,,0.167585472,0.0052105706,0.0007028974,,0.0195239155,0.0133543744,0.0064043639,,,0.0010498458,,0.0001629525,,0.000000151,,,,,,,90.23611726120002,275.3977144044,129.8887594963,64.1237408142,49.79697899,35.3147523177,160.3472150704,25.4465637022,20.2506769364,13.217912172,30.1541863391,5.985260153,6.4404991277,13.3244109646,9.4607190517,9.5921991719,9.2241788721,34.218941601,0.0000053597,10.3710287272,1.5561829461,4.8833943941,10.1127956938,11.2993997046,5.8061199802,3.5629830434,44.3598534653,0,5.3102833275,2.4061082993,3.1772365589,0.9281704789,0.1569313883,2.4403842363,0.5002683094,7.6442105267,2.4400894903,3.1371789127,4.0123989041,0,0,0.0000046194,0.36418847,0.0056282366,0,1.3247913039,0.0956254945,0,0.26144129029999996,0.3000916902,8.0917718559,3.9963720246,0.0924347462,0.4476213399,0.5209940783,2.9234434636,1.28076051,8.832446225,0.031939525,2.2943209351,0.1050874144,0.0133703378,1.5232464131,0.0125514233,0,2.5450365797,0.011690991,1.1954394858,0.4262530423,0,0.0508678211,0.0025841016,3.696472263,0,0,1.0470123757,0.004414876,0,0.042970216,0.445499342,0.5806022417,0.0445828699,0.0067276498,0.1438468499,0.031931663,0,1.9715937869,0.06130083,0.0082693817,0,0.229693124,0.1571102869,0.0753454576,0,0,0.0123511273,0,0.0019170884,0,0.000001777,0,0,0,0,0,0,1061.6013795569004
2018-10-03,58.6850574409,10.9270963377,6.0007410328,4.0963973939,2.9537957238,8.7216083462,14.108421789100001,1.0111365695999999,2.5942972554,2.9586503524,0.7776871279,0.3872095029,2.2330534501,1.6945043104,1.6103989282,1.201315174,1.6106586945999999,0.0987900092,1.0200182143,0.6170325983,0.713585381,0.5902213546,0.7966812898000001,0.359536008,0.3099535073,0.4160617396,,0.4630108326,0.1135238396,0.3332514417,0.1612501255,0.0126277626,0.0130926634,0.004215789,2.3104930944,0.5216242602,0.7536549024,0.0993391296,,0.0998498513,0.0257763634,0.2478811859,0.0341251582,0.0343078802,0.1256196869,0.0056137327,,0.0305180363,0.031745879,0.0178114591,0.0211246059,0.0519642058,0.0207525647,0.1372776504,0.1119873641,0.0192838784,0.0034769312,0.0037384808,0.1040756637,0.001274239,0.0084087956,1.0463771288,0.0011645998,,0.3055932799,0.1927518266,,0.0632911741,,0.3870170055,0.0087544519,0.0042619317,,,,0.0060507051000000004,,0.0026290072,0.0327116218,0.0773213939,0.0024977275,,0.0006955381,0.0048566544,,,,,,0.0000576639,,,,0.0108677045,0.0015169241,,0.0000916857,,,,,,,,,134.56511501010002,690.4124404809,128.554074565,70.5969533268,48.1929105204,34.750537929299995,102.6071570102,165.9814328142,11.895724344000001,30.521144178,34.8076512033,9.1492603299,4.5554059175,26.2712170592,19.9353448293,18.9458697426,14.1331196941,18.9489258184,1.1622354025,12.0002142891,7.2592070401,8.3951221314,6.9437806403,9.3727210556,4.2298353892,3.646511852,4.8948439964,0,5.4471862653,1.335574584,3.9206051965,1.8970603011,0.1485619135,0.1540313326,0.0495975185,27.1822716997,6.1367560021,8.8665282633,1.1686956418,0,1.1747041335,0.3032513336,2.9162492454,0.4014724491,0.4036221206,1.4778786674,0.0660439134,0,0.3590357219,0.3734809273,0.209546578,0.2485247757,0.611343598,0.2441478185,1.615031181,1.3174984026,0.2268691584,0.0409050722,0.0439821287,1.2244195696,0.0149910458,0.0989270071,12.3103191648,0.0137011744,0,3.5952150598,2.2676685507000003,0,0.7446020478,0,4.5531412391,0.1029935507,0.0501403725,0,0,0,0.0711847664,0,0.0309294974,0.3848426101,0.9096634584,0.0293850293,0,0.0081828014,0.0571371094,0,0,0,0,0,0.0006783996,0,0,0,0.1278553475,0.0178461662,0,0.001078655,0,0,0,0,0,0,0,0,1583.1190001264
2018-10-04,58.5175464848,9.617002326,5.8725210789,4.2598601658,3.02902615,2.589335336,4.8583934096000005,1.3814099537,2.1459608601,1.5749770516,0.3118381042,0.7066258585,0.9040974618,1.6344806897,0.6825754232,1.0699473089,0.7018570099,0.2976699104,0.6790671079,0.4196829022,0.3945728179,0.8653727225,0.7517108787000001,0.4778891945,0.0361461898,0.034646481,,0.569471641,0.0803141458,0.5481850169,0.0704637172,0.1585525576,0.1010110377,0.2895311691,0.6404013346,0.105963313,0.6169219558,0.2543097569,,0.3350882261,0.0804294777,0.0069915918,0.0017349586,,0.0833342494,0.0047847113,,0.0163492453,0.0579195156,0.053649458799999994,,0.0769948823,0.0227569601,0.05980611,0.018313096,0.0724026333,0.0145176373,0.0026109617,0.0436985391,0.0346458057,0.0017081259,0.0580395325,0.0018831161,,0.0138502613,0.0556311904,0.0038421896,0.1366698734,,0.2492382768,0.0179318545,0.0001280068,,,0.0493836685,0.0821985198,,0.0079792808,0.0168271244,,0.0004556763,,0.0003483393,0.0057911581,,,0.0038816382,0.0,,0.0000850455,,0.0020113419,,,,,0.0000241798,,,,,,,,,108.9432749832,688.4417233514,113.1412038332,69.08848328180001,50.1160019516,35.6356017685,30.462768657199998,57.157569525,16.251881808,25.246598353499998,18.5291417821,3.668683582,8.3132453934,10.6364407261,19.229184586600002,8.0302990962,12.5876153999,8.257141293,3.501998943,7.9890247994,4.9374459079,4.6420331497,10.1808555604,8.8436573978,5.6222258156,0.4252492916,0.40760565940000004,0,6.6996663641,0.9448723029,6.449235496,0.8289849095,1.8653242067,1.1883651503,3.4062490473,7.5341333475,1.2466272115,7.2579053613,2.9918794939,0,3.9422144238,0.9462291506,0.0822540224,0.0204112772,0,0.9804029354,0.0562907224,0,0.1923440633,0.6814060697000001,0.6311701016,0,0.9058221439,0.2677289423,0.7036012943,0.2154481885,0.8517956845,0.1707957332,0.0307171968,0.5141004576000001,0.4075977123,0.0200956,0.6828180293,0.022154308,0,0.1629442526,0.6544845924,0.045202231,1.6078808616,0,2.932215021,0.2109629941,0.0015059634,0,0,0.5809843344,0.9670414114,0,0.09387389,0.1979661706,0,0.0053608976,0,0.0040981099,0.0681312717,0,0,0.0456663324,0,0,0.0010005347,0,0.0236628456,0,0,0,0,0.0002844678,0,0,0,0,0,0,0,0,1281.6855880446005
2018-10-05,57.8111934409,4.6995076265,3.8188871968,3.5296208414,4.8297179723,1.081697811,1.7538512718000001,4.6040375847999995,0.9857793565,1.7095743937,1.3673180621,0.541771093,2.1681623084,1.2719175586,1.3417148364,0.7201613053,0.8024145418,0.2167049668,1.6365886359,0.4253305723,1.9029381012,0.8920012345,0.6618125948,0.4484237037,0.000115339,0.0421290241,,0.1905468884,0.1523744996,0.2159584378,0.0024087797,0.0000031113,0.2016698039,0.3216256108,0.2778783849,0.029243963799999998,0.1856874194,0.8080726911,0.1617317943,0.4257304148,0.5508331109,0.1120248147,0.0053835179,,0.0247768193,0.032868964,,0.030551824999999998,0.050272071599999996,0.0507235889,,0.0002140716,0.0069995578,0.2017120985,0.1085941596,0.0436747022,0.0001817148,0.0320175708,0.018604003,0.0026879404,0.0045275951,0.0738981705,0.0035368062,,0.0930027557,0.0003152312,,0.000383996,,0.0021951095,0.0301490987,0.1949792916,,,0.0796261594,0.0432091093,,0.0008458619,0.00009677279999999999,0.0591760119,0.0000001574,,0.0015629918,0.0013682523,,,0.0007288751,,,0.0001013017,0.0000001134,,,,,0.0011022085,0.0002260169,,0.0000000755,,,,,,,104.0994556668,680.1316875387,55.2883250181,44.9280846679,41.5249510743,56.8202114375,12.7258565985,20.6335443724,54.165148056,11.5974041958,20.1126399272,16.0860948448,6.3737775648,25.5077918649,14.963735983100001,15.784880429,8.4724859428,9.4401710816,2.5494701983,19.2539839501,5.0038890847,22.3875070696,10.4941321713,7.7860305271,5.2755729834,0.0013569295,0.495635579,0,2.2417280983,1.7926411722,2.5406875041,0.028338585,0.0000366038,2.3725859281,3.7838307144,3.2691574684,0.34404663280000003,2.1845578719,9.5067375413,1.902726993,5.0085931159,6.4803895391,1.3179389974,0.0633355053,0,0.2914919919,0.3866936946,0,0.3594332336,0.5914361382,0.5967481053,0,0.002518489,0.0823477385,2.3730835114,1.2775783483,0.513820026,0.0021378212,0.3766773029,0.2188706221,0.0316228269,0.0532658259,0.8693902408,0.0416094847,0,1.0941500683,0.0037086029,0,0.0045176009,0,0.0258248177,0.3546952772,2.2938740188,0,0,0.9367783461,0.5083424645000001,0,0.0099513149,0.0011385047,0.6961883743,0.0000018515,0,0.01838814,0.0160970864,0,0,0.0085750017,0,0,0.0011917856,0.0000013346,0,0,0,0,0.0129671581,0.0026590219,0,8.885e-7,0,0,0,0,0,0,1224.6994784213002
2018-10-06,10.2394850792,13.0496765076,13.710549316,1.0680343527,3.6208934998,0.6836663155,0.7485130061,14.615293057799999,0.5608440481,0.8301707316,0.6283819019,0.9530996078,0.4034392385,0.3492753392,0.5321882684,0.5660122381,0.3330562468,0.103409037,1.0223389033,0.3912817215,0.3963566523,1.1749420486,,0.396162179,0.0069252845,0.0672105564,,0.0099152696,0.0615326043,0.1754208624,0.0443301227,0.000028836,0.1370664487,0.4598478742,0.1355789316,0.1594579985,0.1158291491,0.2060213918,0.2101933313,0.1615170887,1.8265526455,0.2315030791,,0.0942299911,0.0552451106,0.0058513786,,0.0331557916,0.1451106917,0.0439994298,,0.00172828,0.0047151055,,,0.026560632,0.0000463537,0.381145356,0.0385670197,0.0724780386,0.008121897,0.1311055124,0.0613413856,,0.0211533473,0.0565474293,0.0464029186,0.0219052569,,0.0049031495,0.0216372909,0.1112883256,,,0.0288017295,0.0137203772,,0.0000051667,0.0250806722,,0.0053478035,,0.0240229949,,,0.0000001269,,0.0,0.0036921391,0.0000471404,,0.001247844,,,,,0.00035626,,0.0000000755,,0.0000000363,,,,,71.8755628294,120.4645303452,153.525605972,161.3005801875,12.5651100339,42.5987470582,8.043133121999999,8.8060353632,171.9446242088,6.5981652706,9.766714491,7.392728258,11.2129365589,4.7463439807,4.1091216366,6.2610384514,6.6589675089,3.9183087859,1.2165769079,12.0275165082,4.6033143718,4.6630194412,13.8228476303,0,4.6607315158,0.0814739354,0.7907124302,0,0.1166502294,0.7239129934,2.0637748503,0.5215308554,0.0003392473,1.6125464551,5.4099749896,1.5950462548,1.8759764516000001,1.3626958727,2.4237810783,2.4728627205,1.9002010441,21.4888546522,2.7235656361,0,1.1085881311,0.649942479,0.0688397475,0,0.3900681343,1.7071846109,0.5176403495999999,0,0.0203327062,0.0554718272,0,0,0.3124780235,0.0005453378,4.4840630117,0.4537296409,0.8526828075,0.0955517292,1.5424177935,0.7216633595,0,0.2488629101,0.6652638744,0.5459166887,0.2577089044,0,0.0576841141,0.2545563616,1.3092744182,0,0,0.3388438765,0.16141620580000002,0,0.0000607837,0.2950667311,0,0.0629153354,0,0.2826234735,0,0,0.0000014929,0,0,0.0434369305,0.0005545933,0,0.0146805179,0,0,0,0,0.0041912944,0,8.885e-7,0,4.265e-7,0,0,0,0,845.5948568153002
2018-10-07,1.3254331022,25.113314234,2.1470762339,1.7294508905,2.6243027624,1.2888948398,0.8255657793,1.7343339332,0.4268636026,0.9080264325,0.4950817663,0.2678846542,0.3572375412,0.4316765114,0.2118681373,0.526334235,0.33088074110000004,0.1020641031,0.1368314383,0.2869482059,0.3551764262,0.4717336918,,0.762668438,0.0237607817,0.076585785,,0.0273964071,0.3827700286,0.1621452015,0.1288897236,,0.1220466378,0.1199323468,0.4324270664,0.144006979,0.1450623008,0.3243786304,0.0001012284,0.2338067614,0.0002683155,0.1355944948,,,0.0004934677,0.2744141461,,0.0209129878,0.1529291916,0.05121435060000001,0.0000001943,,0.0002121748,0.0014892427,0.0000001926,0.2788577719,0.0019992405,0.0021733739,0.0401765356,0.0139319323,0.0047816521,,0.1496752918,,0.0214202553,,0.0118392396,0.0127679509,,0.0088440639,0.0000055964,,,,,0.0176702108,,0.0129132706,0.0221010934,,,,0.0946561312,0.0000001199,,,0.000370376,0.0008050707,,,,0.0606540633,0.0017380709,,,,0.0001542579,,,,,,,,,46.57802190609999,15.5933306134,295.4507556987,25.259720399,20.3464810676,30.874150146,15.1634687034,9.7125385795,20.4039286271,5.0219247349,10.6826639118,5.8244913677,3.1515841677,4.2027946012,5.0785471937999995,2.4925663192,6.1921674685,3.8927146007999998,1.2007541526,1.6097816294,3.3758612471,4.1785461932,5.5498081373,0,8.9725698575,0.2795386091,0.9010092356,0,0.3223106713,4.5031768064,1.9075906062,1.5163496881,0,1.4358427972,1.4109687861,5.0873772529,1.694199753,1.7066153037,3.8162191809,0.0011909222,2.7506677807,0.0031566526,1.595229351,0,0,0.0058055008,3.2284017195,0,0.2460351507,1.7991669594000002,0.6025217726000001,0.0000022864,0,0.0024961735,0.0175205022,0.0000022659,3.2806796683,0.0235204771,0.0255691047,0.47266512359999996,0.1639050869,0.0562547305,0,1.7608857853,0,0.2520030029,0,0.1392851723,0.1502111863,0,0.1040478126,0.0000658416,0,0,0,0,0.207884835,0,0.1519208299,0.2600128632,0,0,0,1.1136015438,0.000001411,0,0,0.004357365,0.0094714192,0,0,0,0.7135772156,0.0204478931,0,0,0,0.0018147994,0,0,0,0,0,0,0,0,547.9767283127001
2018-10-08,49.2761124442,3.6041355569999998,3.5515287549,3.4596333141,2.2565532543,0.2654248181,1.4826657043,2.7914894323999997,2.0089381679000002,1.2001568923,0.7621226443,0.3306958104,0.9725241824,1.1249330702,0.6846218197,0.1387175878,0.4841800732,0.2077437155,0.2269178177,0.9818260247,0.4831561804,0.7384315491,0.6112305319,0.5754209749,0.0006349293,0.2630019514,,0.1834479844,0.1093886894,0.28784117,0.0024243784,0.0030042748,0.0625114856,0.050289496,0.3172089844,0.210087728,0.1683360787,0.2113090215,,0.0249705303,0.0069857465,0.0101403815,0.1542173704,0.0000003795,0.0147006726,0.0115481386,,0.0212523819,0.1557413439,0.0665786896,0.005810954,0.0000003403,0.0023851509,0.0117048819,0.0006930978,0.8440028238,0.1124097129,0.0144531714,0.0277114579,0.0000050639,0.0059737675,0.0026414125,,,0.0995613226,0.2061632726,,0.0110047546,,0.0072653992,0.0029716278,,,,,0.055774051799999995,,0.0004883646,0.037281951,,0.0025112504,,0.0003491946,0.0007788627,,,0.0000002611,,,0.0000684611,0.0002897974,0.0000000614,0.0500659138,,,0.000000367,0.0000711319,,,,0.0000000363,,,,,82.05722004509998,579.7189699334,42.4015947889,41.7826912291,40.7015684006,26.5476853433,3.1226449188000003,17.4431259345,32.8410521459,23.6345666815,14.1194928504,8.9661487508,3.8905389448,11.441460968,13.2345067085,8.0543743474,1.6319716201,5.6962361524,2.4440437136,2.6696213839,11.5508944074,5.684190357,8.6874299933,7.1909474329,6.7696585265,0.0074697565,3.0941406035,0,2.1582115814,1.2869257563,3.3863667073,0.0285220984,0.0353444088,0.7354292414,0.5916411301,3.7318704035,2.4716203296,1.9804244544,2.4859884847,0,0.2937709446,0.0821852535,0.1192986071,1.814322006,0.0000044648,0.1729490897,0.1358604552,0,0.25002801970000005,1.8322511062,0.783278697,0.0683641647,0.0000040038,0.0280605993,0.1377044926,0.0081540914,9.9294449855,1.3224672106,0.1700373106,0.3260171508,0.0000595748,0.0702796179,0.0310754422,0,0,1.1713096761,2.4254502654,0,0.1294677024,0,0.0854752856,0.0349603248,0,0,0,0,0.6561653166,0,0.0057454659,0.43861119,0,0.0295441225,0,0.0041081728,0.0091630901,0,0,0.0000030715,0,0,0.0008054245,0.003409381,7.218e-7,0.5890107509,0,0,0.0000043176,0.0008368455,0,0,0,4.265e-7,0,0,0,0,965.3790593283999
2018-10-09,55.3046540131,6.0536283652,19.844850446,12.2944160568,1.3439539957,0.36151270879999997,2.7788203267,1.4284437833,0.7941253456,2.0765554631,0.7235552486,0.3836404891,1.1976491626,1.2825487928000001,0.4266476732,0.9760755988,0.6446647944,0.1032184547,0.5853707733,1.0867663341,1.2884039227,0.5351032745,0.7925920563,0.2693911341,0.2117450871,0.2258366961,,0.4276830205,0.0935224099,0.3392537838,0.0491279164,0.0010106386,0.2012895251,0.130922064,0.4349986371,0.0852555296,0.0549423369,0.2171054782,0.0000868869,,,0.0035553474,0.4471443637,0.0035480799,0.0827756781,0.1008391955,,0.1550703763,0.172216208,0.099096185,0.2114255932,0.0000032138,0.0084253598,0.4927283967,0.0076187093,0.0052944572,0.99783927,0.0032821719,0.0910729782,0.3023772856,0.0135956011,0.015605882,0.0041967447,,0.0419874437,0.0040009613,,0.0016014194,,0.0034595501,0.0016985895,0.0036380307000000002,,,0.0439487045,0.0130938241,,0.0698862826,0.1280247789,0.0015593477,,0.0000001172,0.0021655499,0.0012738756,,,,,,0.0000450392,,0.0000002266,,0.0000161579,,0.0019322874,0.000228711,,,,,,,,0.0000000609,118.5856402793,650.6429883902,71.2191572375,233.4688287796,144.6401889074,15.8112234752,4.2530906935,32.6920038406,16.8052209773,9.3426511259,24.4300642738,8.5124146883,4.5134175194,14.0899901455,15.0888093276,5.0193843907,11.4832423376,7.5842916974,1.2143347597,6.8867149772,12.7854862809,15.1576932056,6.2953326424,9.3246124247,3.1693074609,2.4911186731,2.6569023049,0,5.0315649493,1.1002636468,3.9912209865,0.5779754874,0.0118898656,2.3681120622,1.5402595782,5.117631022,1.0030062301,0.6463804329,2.5541820953,0.0010221992,0,0,0.0418276163,5.260521926,0.0417421162,0.9738315054,1.1863434761,0,1.8243573692,2.0260730357,1.1658374685,2.4873599188,0.0000378099,0.0991218787,5.7968046675,0.089631875,0.062287733,11.7392855295,0.0386137868,1.0714467978,3.5573798306,0.1599482495,0.1835986106,0.0493734675,0,0.4939699266,0.0470701325,0,0.0188402283,0,0.0407005891,0.019983408,0.0428003613,0,0,0.5170435822,0.15404499100000002,0,0.8221915579,1.5061738707,0.0183452666,0,0.0000013793,0.025477057299999998,0.0149867712,0,0,0,0,0,0.0005298741,0,0.0000026654,0,0.0001900932,0,0.0227327924,0.0026907185,0,0,0,0,0,0,0,7.162e-7,1395.1251797428001
